name,price
"Garlic & Parsley Oven Baked Puff Pastry, 2.11 oz",$2.55
"Cheese & Onion Puff Pastry, 2.11 oz",$2.55
"Entertainment Crackers, 13.2 oz",$5.49
"Organic Original Seeded Crackers, 5.5 oz",$4.29
"Sea Salt Pita Chips, 7.33 oz",$2.45
"Family Size Baked Cheddar Jalapeno Crackers, 21 oz",$4.19
"Raisin & Rosemary Artisan Crisp, 5.3 oz",$4.75
"Fig & Black Sesame Artisan Crisp, 5.3 oz",$4.75
"Hot Flavored Cheese Curls, 8.5 oz",$2.09
"Mexican Style Street Corn Chip Dippers, 9.25 oz",$1.99
"Original Corn Chip Dippers, 9.25 oz",$1.99
"Italian Choco Wafers, 6 count",$3.75
"Sour Cream and Onion Potato Chips, 9.5 oz",$1.75
"Ridged Cheddar & Sour Cream Flavored Potato Chips, 9 oz",$1.99
"Ridged Jalapeno Ranch Flavored Potato Chips, 9 oz",$1.99
"Original Fried Pork Rinds, 5 oz",$2.09
"Hot & Spicy Fried Pork Rinds, 5 oz",$2.09
"Family Size Cheddar Chex Mix, 13.5 oz",$4.39
"Family Size Traditional Chex Mix, 13.5 oz",$4.39
"Thin Wheat Original Crackers, 9.1 oz",$2.99
"Cheese Dip & Cracker Sticks, 5 pack",$1.85
"Extra Cheddar Goldfish Crackers, 12 oz",$4.65
"Cheddar Goldfish Crackers, 12 oz",$4.65
"Gluten Free Nacho Cheese Tortilla Chips, 9.25 oz",$1.75
"Toffee Pretzels, 8 oz",$3.29
"Original Mini Brioche Toast Cracker, 2.82 oz",$1.65
"Mini Onion Brioche Toast Crackers, 2.82 oz",$1.65
"Caramel Stroopwafels Cookies, 10.94 oz",$3.49
"Birthday Cake Pretzels, 8 oz",$3.29
